carnet,nombres,apellidos,sexo,fecha_nacimiento,profesion,celular,direccion
559874-43,Leonardo,Rivas Aparicio,F,1979-12-08,Abogado,794-860-2858x753,Prolongación Montenegro 767
225123-44,Israel,Casares Delgado,M,1980-03-12,Enfermero,(344)406-9627,Viaducto Muñoz 627
748685-45,Barbara,Orta Guzmán,M,1991-08-20,Arquitecto,919-612-3466x49356,Circuito Seychelles 200
990678-46,Carmen,Gallardo Fonseca,M,2006-10-30,Programador,566.400.7031x5328,Retorno Norte Niño 153
341590-47,Gerardo,Valdez Lara,F,1973-09-01,Profesor,+92(4)5739415466,Cerrada Fiji 140
688618-48,Asunción,Domínguez Bermúdez,M,1991-05-04,Profesor,894.186.6946x6537,Diagonal Baja California Sur 973
362305-49,Aldo,Guerra Zavala,M,1966-08-20,Electricista,1-912-379-3472,Eje vial El Salvador 394
572313-50,Clemente,Ortega Esparza,M,1989-05-17,Abogado,1-302-742-9995,Circuito Norte Marrero 988
918428-51,Esperanza,Valenzuela Zayas,F,1973-04-18,Electricista,090-580-6353,Prolongación Nuevo León 570
860046-52,Cristal,Cervantes Corral,M,1997-01-29,Diseñador,004-440-7554,Peatonal Carrillo 272
535088-53,Salvador,Rolón González,F,1999-06-03,Enfermero,504.725.3911,Eje vial Norte Grijalva 345
942808-54,Reynaldo,Carrero del Valle,M,1991-10-18,Programador,(923)389-2918x589,Andador Veracruz de Ignacio de la Llave 469
289095-55,Judith,Segura Granado,M,1970-03-04,Abogado,+22(9)2301978715,Privada Amador 439
127638-56,Humberto,Rocha Mares,F,1968-01-24,Doctor,1-718-454-3264x3418,Circunvalación Baeza 852
588980-57,Roberto,Moreno Madrigal,M,1974-06-24,Profesor,+36(2)9254956897,Ampliación Tamaulipas 433
216607-58,José,Vaca Nájera,F,1984-03-24,Doctor,(906)233-4300x0351,Callejón Sur Zapata 703
557414-59,Homero,Hidalgo Girón,M,1987-01-03,Diseñador,(926)602-3918x007,Avenida Tuvalu 227
379099-60,Julia,Gallegos Narváez,F,1997-11-17,Doctor,1-995-049-9755x78001,Ampliación Campeche 923
178267-61,Gilberto,Medrano Benavídez,M,1992-05-24,Diseñador,002.188.6302x12603,Diagonal Belarús 948
254684-62,Amalia,Niño Mendoza,F,1970-11-17,Doctor,(563)164-1139x678,Callejón Chiapas 749
325181-63,Alta  Gracia,Serna Puga,M,1964-08-23,Electricista,596.899.7908x92114,Cerrada Coahuila de Zaragoza 254
814020-64,Marisol,Gastélum Barreto,M,1985-03-01,Doctor,(491)237-0185x76197,Eje vial Patiño 407
735708-65,Iván,Figueroa Yáñez,M,1977-05-21,Contador,+61(2)2818322429,Corredor Albania 612
906567-66,Patricia,Archuleta Luevano,F,1986-03-05,Doctor,(982)798-6522x910,Callejón Colima 300
136007-67,Arcelia,Abreu Covarrubias,F,1965-05-04,Enfermero,394.648.0947x902,Callejón Estonia 734
458184-68,Zacarías,Limón Garay,F,1964-05-27,Electricista,1-360-421-4420,Retorno Kuwait 847
408805-69,Marisela,Benavídez Carrión,F,2001-09-23,Ingeniero,848-544-7663,Callejón Puebla 411
829935-70,Reynaldo,Fernández Montoya,M,1978-06-13,Ingeniero,1-230-374-4060,Periférico Baja California Sur 592
526597-71,Marco Antonio,Medina Roybal,F,1991-12-21,Ingeniero,284-061-3818,Andador Zacatecas 624
505050-72,Virginia,Batista Sáenz,F,1990-01-28,Contador,(505)881-3175,Privada Norte Montaño 640
559775-73,Yolanda,Aguayo Arguello,F,1978-07-24,Ingeniero,837-698-2024x21027,Callejón Varela 391
737741-74,Lourdes,Muñoz Nazario,M,1993-07-14,Enfermero,08143373423,Cerrada Sur Urrutia 830
421172-75,Luis Manuel,Barreto Contreras,M,1983-10-09,Arquitecto,02761861030,Avenida Comoras 612
616151-76,Elisa,Castro Brito,F,2001-10-15,Abogado,452.619.8692x03466,Privada República Democrática del Congo 769
601371-77,María Teresa,Salinas Aguilera,F,1970-10-05,Contador,376.905.8633,Privada Emiratos Árabes Unidos 139
854415-78,Norma,Loera Ojeda,M,1966-01-24,Profesor,348.986.9008,Calle Sur Vázquez 684
594504-79,Isabela,Ornelas Ornelas,F,1992-03-04,Enfermero,896.180.3147x66777,Circuito Guerrero 767
594111-80,Alvaro,Cadena Munguía,M,1989-11-30,Profesor,+31(6)9219650150,Privada Tabasco 700
255200-81,Abel,Olivo Saavedra,F,1995-05-25,Arquitecto,989-384-9950,Cerrada Pineda 604
646975-82,Paola,Prado Magaña,F,1978-05-06,Diseñador,(194)264-1573,Eje vial Azerbaiyán 861
397245-83,Mario,Verdugo Feliciano,M,1971-07-20,Doctor,1-908-048-2496x4469,Privada San Luis Potosí 791
882911-84,Guillermo,Bustos Candelaria,M,1980-04-01,Doctor,1-688-594-5279x78101,Avenida Jalisco 112
670764-85,Blanca,Hidalgo Roldán,M,1979-02-14,Ingeniero,(441)517-5424x2411,Periférico Veracruz de Ignacio de la Llave 531
788692-86,Alberto,Valles Olivares,M,1983-02-01,Electricista,649-409-1028x377,Andador Frías 335
478147-87,Oswaldo,Córdova Almaraz,M,2000-02-07,Diseñador,1-085-264-8226,Retorno Matos 177
712940-88,Carlos,Santana Quintana,F,1994-09-09,Enfermero,697-407-1327x259,Pasaje Islandia 522
430672-89,Andrea,Domínguez Valladares,M,1968-01-16,Arquitecto,783-475-6003x59973,Diagonal González 913
398588-90,Linda,Valdés Montalvo,M,1996-08-18,Programador,333.358.3370x9478,Calle Norte Castellanos 159
987970-91,César,Báez Vera,F,1979-02-15,Contador,976.082.7888x499,Diagonal Nayarit 891
711257-92,Lilia,Carreón Baeza,F,1996-03-29,Contador,332-052-0875x2510,Prolongación Guanajuato 689
487121-93,Camila,Toledo Pizarro,M,1990-06-10,Contador,(346)468-7618,Prolongación Nueva Zelandia 866
395244-94,Zacarías,Ibarra Guerrero,F,1973-09-28,Electricista,(037)078-1954x722,Boulevard Uzbekistán 722
330977-95,Salvador,Anaya Piña,F,2000-01-16,Diseñador,552-973-6231x41787,Retorno Tabasco 815
527116-96,Yuridia,Vela Escamilla,M,1972-03-09,Programador,1-380-924-9868x5753,Privada Hidalgo 820
723016-97,Natividad,Noriega Ledesma,F,2006-12-04,Contador,739.649.4797x254,Privada Guanajuato 379
907978-98,Alejandra,Casárez Cabán,F,2000-05-18,Doctor,685-122-4533x0243,Eje vial Norte Zambrano 539
407596-99,Pascual,Véliz Girón,F,1990-04-23,Diseñador,(854)336-6927x4966,Prolongación Norte Barela 604
518475-100,Ana María,Beltrán Segura,F,1984-05-07,Arquitecto,(313)239-8718,Circuito Sur Guzmán 196
454361-101,Gabriela,Puga Noriega,F,1989-07-21,Diseñador,(347)878-5999,Prolongación Ochoa 751
127936-102,Espartaco,Ramón Rendón,M,1974-02-09,Ingeniero,1-465-824-0083,Ampliación Jalisco 247
919078-103,Mariana,Téllez Paredes,M,2004-12-03,Programador,03015351383,Calzada Veracruz de Ignacio de la Llave 201
550642-104,Cristobal,Mota Aragón,F,2006-01-10,Ingeniero,300.316.0747x464,Privada Quintana Roo 577
701512-105,Indira,Carrera Peña,M,1982-03-18,Doctor,(132)631-4978x809,Periférico Carrión 651
641521-106,Rocío,Lira Morales,F,1967-08-15,Profesor,00191465251,Peatonal Coahuila de Zaragoza 235
788386-107,Lucía,Galván Rael,M,1995-03-19,Abogado,(990)263-2291x3386,Circuito Rico 963
297124-108,Gabino,Sevilla Guardado,M,1976-08-03,Doctor,(836)665-3147x5767,Peatonal Durango 545
601690-109,José Manuél,Negrete Solano,F,2005-08-08,Ingeniero,899-693-5585x5484,Diagonal Arellano 530
536248-110,Concepción,Lucio Flórez,F,1995-10-07,Profesor,1-395-439-7217x5920,Corredor Norte Jiménez 139
353020-111,Óscar,Hernádez Segovia,F,1997-11-22,Contador,(727)339-2603x95136,Boulevard Argelia 798
590302-112,Santiago,Colunga Montero,M,2005-07-23,Programador,(331)623-4614,Privada Lucero 342
902708-113,María Teresa,Mejía Ocampo,F,1972-12-15,Diseñador,+05(4)6185752588,Periférico Bueno 423
347150-114,Daniela,Arreola Menchaca,M,1979-01-01,Arquitecto,00205099492,Periférico Ríos 154
359473-115,Adela,Robles Rivera,F,1968-12-04,Contador,224.433.4879x8108,Calzada México 929
809397-116,Jacobo,Raya Colón,F,1996-12-16,Abogado,673-089-7472,Peatonal Guillen 663
753718-117,Isabel,Concepción Guevara,M,1993-06-17,Programador,516-309-1205x975,Calzada Quintana Roo 807
312487-118,Hugo,Villa Domínguez,F,1993-02-19,Doctor,(300)551-9998x54063,Circuito Delgado 551
767528-119,Estela,Rodarte Báez,M,1996-02-18,Abogado,976-295-2902x44892,Retorno Sur Loera 373
828403-120,Leonor,Tórrez Colunga,M,1985-05-05,Arquitecto,444.157.6590x4291,Andador Malawi 727
773289-121,Alfonso,Melgar Zepeda,F,1979-09-24,Programador,893.276.1913x878,Circunvalación Panamá 587
513028-122,Josefina,Colón Villa,M,2005-04-01,Profesor,773.151.8552,Calle Norte Aguirre 508
894055-123,Rocío,Valles Campos,F,2003-11-22,Electricista,262.871.9532x2793,Circunvalación Norte Granados 659
132892-124,María Elena,Aragón Ávalos,M,2000-10-27,Arquitecto,019-143-2263,Calle Etiopía 331
588499-125,Amanda,Pedraza Viera,F,1964-09-04,Doctor,+41(0)9060534643,Callejón Bañuelos 561
279185-126,Sergio,Quiñones Candelaria,M,1968-11-28,Contador,+30(0)3154631048,Calle Sur Villagómez 297
309289-127,Berta,Lomeli Benavídez,M,1978-06-24,Profesor,509-628-0120x19188,Prolongación Norte Partida 420
210482-128,Bruno,Caldera Terán,M,1973-07-27,Diseñador,(296)383-5321x234,Continuación Rolón 589
904731-129,Humberto,Altamirano Hidalgo,F,1967-04-19,Profesor,05303070947,Pasaje Aguascalientes 175
440331-130,Wendolin,Velásquez Marín,M,1964-11-03,Arquitecto,(726)367-7460,Privada Oaxaca 892
900478-131,Elisa,Corona Olivas,M,1969-12-23,Arquitecto,653-871-6851x6503,Corredor Baja California 995
567816-132,Reina,Escalante Centeno,F,1973-09-04,Programador,1-498-971-1457x72398,Eje vial Cantú 824
816600-133,Diana,Cardona Nevárez,M,1976-06-22,Ingeniero,01707064368,Continuación Norte Amador 490
260821-134,Cornelio,Maya Nieto,M,1978-12-01,Ingeniero,418-097-4958,Viaducto Zamudio 671
135964-135,Isaac,Samaniego Peres,F,1992-02-01,Enfermero,04543679500,Viaducto Michoacán de Ocampo 799
614718-136,Jacinto,Aguilar Barragán,F,1987-05-25,Enfermero,(352)426-0873x778,Viaducto Campeche 649
458363-137,Julia,Matías Orta,F,1995-07-23,Arquitecto,829.728.9281x29630,Avenida Miranda 696
464183-138,Daniel,Rocha Arenas,M,1986-03-02,Doctor,132.828.8313x62791,Circuito Italia 583
481880-139,Violeta,Gollum Torres,F,1970-10-20,Profesor,151.808.6293x1606,Periférico Tamaulipas 738
621630-140,Óscar,Rangel Irizarry,F,2000-09-20,Electricista,339.284.6028x8591,Calzada República Dominicana 674
526432-141,Francisca,Zambrano Cardona,F,2000-10-12,Programador,385.256.0051x6282,Eje vial Alcala 290
567756-142,José Luis,Rosado Balderas,F,1994-10-12,Doctor,(178)792-5806x8621,Viaducto Senegal 788
865544-143,Salma,Valverde Hidalgo,M,1978-07-16,Ingeniero,+02(4)8243473809,Ampliación Vigil 550
855754-144,Benjamín,Ávila Calvillo,F,2004-06-07,Electricista,1-440-287-4443x1316,Retorno Juárez 907
821877-145,Adán,Castro Quiñones,M,1975-08-08,Arquitecto,+75(4)3998458240,Calle Fajardo 493
903343-146,Beatriz,Marroquín de la O,M,2006-02-06,Diseñador,455-478-6100,Prolongación Nicaragua 528
152844-147,Concepción,Echeverría Marín,M,1969-02-11,Programador,1-308-093-8039x82213,Pasaje Mena 760
404306-148,Margarita,Abrego Villareal,M,1995-04-27,Profesor,961-849-1847x1608,Privada Medina 494
251352-149,Samuel,Soto Zaragoza,M,1978-11-30,Doctor,108.927.4475x232,Callejón Chihuahua 253
562357-150,Ángela,Valadez Acuña,F,1992-03-11,Electricista,875-049-1611,Calle Namibia 176
538155-151,Nayeli,Alejandro Marín,M,1981-03-31,Ingeniero,478-361-7429x1292,Avenida Serbia 749
380231-152,Eduardo,Orellana Quintero,F,2003-01-22,Programador,056.888.3540,Diagonal Durango 151
226916-153,Eugenio,Lemus Bonilla,F,1980-06-07,Contador,420-186-9185x61761,Cerrada Norte Calvillo 792
272136-154,Delia,Rendón Rodríguez,F,2002-10-24,Programador,(010)280-9960,Ampliación Belarús 592
462627-155,Alejandra,Hidalgo Díaz,F,1971-03-31,Programador,(884)874-4364,Prolongación Estados Unidos de América 903
103825-156,Martín,Valle Corral,F,2004-09-18,Electricista,576-574-2642x0626,Callejón Colima 219
529268-157,José Luis,Fonseca Sosa,M,2003-06-26,Enfermero,834.667.8354,Circuito Sur Tello 146
725811-158,Sessa,Crespo Pizarro,M,1990-06-30,Contador,326.675.4119x044,Retorno Muñoz 154
509813-159,Zeferino,Alarcón Saavedra,F,1988-08-08,Diseñador,082-665-9912,Ampliación Dinamarca 947
715451-160,Lucía,Narváez Casárez,F,1975-10-27,Doctor,(183)670-3538,Corredor Norte Valverde 646
505617-161,Rebeca,Montez Palacios,M,1984-09-10,Diseñador,04406904429,Cerrada Sierra Leona 516
472434-162,Modesto,Gracia Ordóñez,F,1986-12-19,Programador,(431)941-5452,Retorno Sinaloa 883
537036-163,Juana,Grijalva Ríos,F,2004-04-25,Ingeniero,1-454-271-1086x089,Viaducto Grecia 129
361330-164,Abelardo,Barragán de la Fuente,M,1998-12-24,Abogado,125.968.0828x1330,Peatonal Tlaxcala 700
773702-165,Alfredo,Campos Godoy,F,1997-11-15,Profesor,(155)991-3286,Corredor Ortega 264
306306-166,Rubén,Muñoz Griego,M,1978-10-05,Profesor,(347)881-1459x5055,Callejón Niger 241
215077-167,Salma,Madrid Ordóñez,F,1983-11-08,Electricista,02930140594,Retorno Yucatán 533
896453-168,Cristian,Romero Aguilar,F,1982-07-22,Electricista,1-517-073-1734x47829,Calzada Aguascalientes 479
450490-169,Benjamín,Soto Roque,F,1974-01-21,Abogado,414-647-8779,Periférico San Luis Potosí 284
638746-170,Reina,Zaragoza Ontiveros,M,2002-07-23,Abogado,129-520-8367,Retorno Norte Estévez 445
556773-171,María del Carmen,Alvarado Almanza,M,1968-11-19,Diseñador,630.632.5618x3183,Periférico Baja California 538
837032-172,Eloy,Crespo Ybarra,F,1968-11-29,Enfermero,1-188-372-1396,Callejón Norte Casanova 831
984962-173,Socorro,Partida Correa,F,1987-07-08,Diseñador,428.418.9154x71308,Periférico Aguascalientes 490
466608-174,Juan Carlos,Salas Olivárez,F,1970-02-20,Arquitecto,03455039832,Continuación Norte Ledesma 680
291064-175,Dalia,Paz González,F,1977-03-07,Electricista,1-495-748-3210x15198,Peatonal Chavarría 660
490704-176,Jonás,Gaitán Tijerina,F,1985-06-15,Ingeniero,1-102-066-1372x272,Cerrada Estrada 811
514915-177,Aldonza,Gutiérrez Hurtado,F,1984-06-18,Diseñador,1-165-845-6680x61592,Ampliación Ponce 228
835322-178,José,Zarate Alba,F,1972-07-18,Enfermero,476.262.1850,Viaducto Guerrero 137
398092-179,Serafín,Moya Alcaraz,M,2000-03-16,Enfermero,(876)405-0546x019,Corredor Norte Reséndez 773
189934-180,Patricio,Galindo Menchaca,F,1974-01-17,Electricista,768-439-7649,Ampliación Países Bajos 891
625290-181,Rosalia,Adame Sanches,M,1983-07-18,Enfermero,430-198-9334x26094,Continuación Comoras 329
752128-182,Roberto,Rivera Castellanos,M,1989-11-24,Programador,239.144.5226x5169,Calzada Ordóñez 883
242929-183,Citlali,Escobar Griego,M,1970-08-06,Enfermero,484.596.4548x546,Prolongación Coahuila de Zaragoza 669
407668-184,José Luis,Sanabria Montez,F,1975-06-22,Arquitecto,502.025.5601,Eje vial Seychelles 972
266229-185,Elena,Mojica Feliciano,M,1994-03-18,Diseñador,1-885-714-3331x783,Cerrada Quiroz 506
484177-186,José Luis,Hidalgo Benavídez,F,1974-05-18,Doctor,(883)383-4562x6247,Circunvalación Casanova 485
682685-187,Trinidad,Villanueva Linares,F,1971-01-29,Electricista,+16(0)5208351362,Eje vial Yucatán 555
985279-188,Estela,López Riojas,F,1999-02-05,Doctor,(841)568-6817,Viaducto Norte Castellanos 396
579168-189,Luis Manuel,Salgado Nevárez,M,1974-06-30,Electricista,+06(5)8984211180,Continuación Tonga 244
476849-190,Héctor,Camacho Jimínez,F,1974-06-11,Enfermero,1-287-864-3740,Peatonal San Luis Potosí 954
614074-191,Uriel,Nava Ochoa,F,2000-06-24,Arquitecto,(750)186-8225x90941,Corredor Anaya 423
923069-192,Adriana,Baca Castillo,F,1996-07-31,Enfermero,796.156.1253x941,Circuito Sur Tafoya 452
990345-193,Cristina,Colón Chavarría,M,1970-10-22,Doctor,034-667-7905,Boulevard México 536
977287-194,Eva,Valladares Gálvez,M,1987-08-19,Diseñador,509-026-5465x347,Calzada Tejeda 517
271513-195,Homero,Zapata Cavazos,F,1994-10-09,Profesor,577-242-8285x1920,Periférico República Centroafricana 358
787698-196,Silvia,Loya Rocha,M,2006-11-22,Diseñador,(882)573-8908x0807,Privada Sur Velásquez 724
482081-197,Frida,Véliz Moya,M,1990-12-19,Programador,393.164.9186x98379,Retorno Liechtenstein 854
335554-198,Dalia,Avilés Acevedo,M,1971-05-30,Abogado,113.607.4108x7281,Pasaje Turkmenistán 796
722316-199,Esparta,Merino Ávalos,F,1986-02-06,Enfermero,1-693-548-2703,Continuación Barrientos 176
983762-200,Rafaél,Varela Rangel,M,2000-10-15,Programador,(498)024-4077x5636,Continuación Sánchez 888
716426-201,Verónica,León Pacheco,M,1976-10-15,Doctor,161-123-7387x6210,Circunvalación Norte Ramírez 698
473162-202,Rubén,Suárez Carrasco,F,2005-05-09,Ingeniero,1-068-258-2771x17568,Callejón Salazar 355
244390-203,Ilse,Elizondo Alvarado,M,1992-06-20,Programador,+83(9)9218809014,Corredor Michoacán de Ocampo 536
993763-204,Lorena,Quiñónez Franco,M,1992-05-06,Doctor,(550)986-5074x21522,Calzada Nuevo León 834
247852-205,Sessa,Linares Jurado,F,1999-04-29,Doctor,556-032-6863x0317,Prolongación Norte Bañuelos 105
109544-206,Gabino,Ramos Solorzano,M,1982-11-20,Enfermero,1-177-313-7270x58472,Prolongación Sur Alarcón 572
532559-207,Yuridia,Baca Trejo,M,1971-01-14,Diseñador,1-593-894-5862x2854,Boulevard Norte Verduzco 859
572933-208,Marcela,Gaona Puente,M,1970-05-01,Ingeniero,453-828-1150x50110,Diagonal Casillas 659
669399-209,Marco Antonio,Posada Arce,M,1998-08-10,Diseñador,625.483.4779x2299,Cerrada Norte Maestas 684
885795-210,Amanda,Mendoza Bonilla,F,2005-02-09,Profesor,370.290.4014x7916,Ampliación Laureano 516
976809-211,Sergio,Soliz Rosas,F,1990-04-01,Electricista,620.732.2395,Peatonal México 667
191860-212,Gerónimo,Cuellar Acevedo,M,1983-09-17,Electricista,(316)880-7484x88860,Callejón Guanajuato 235
770651-213,Amador,Yáñez Perea,M,1989-04-14,Electricista,(738)109-9453x334,Privada Portugal 296
495832-214,Raúl,Camacho Saldivar,M,1978-08-03,Programador,486.035.2259x4541,Viaducto Tuvalu 579
660367-215,Dolores,Parra Rodríquez,F,1988-09-01,Programador,(399)116-9976,Circuito Sur Alonzo 491
924856-216,Leonel,Rico Marín,F,1998-04-19,Contador,416-632-6665,Andador Norte Romero 591
106555-217,Bruno,Cedillo Lara,F,1966-07-08,Arquitecto,+76(8)2627111500,Eje vial Grijalva 436
112704-218,Yuridia,Méndez Saavedra,M,1981-09-16,Enfermero,1-355-871-7022x6723,Avenida Saint Kitts y Nevis 750
609729-219,Cynthia,Olivares Colunga,M,1998-02-14,Diseñador,327.702.7833x8241,Cerrada Meraz 162
676216-220,Agustín,Llamas Cardenas,F,1977-09-10,Arquitecto,751.376.8452,Prolongación Tlaxcala 146
283359-221,Bruno,Gil Palomo,M,1976-03-05,Ingeniero,01366481237,Continuación Baja California 744
182918-222,Magdalena,Pedraza Montañez,M,1983-07-04,Profesor,828.983.8241,Diagonal Norte Rivero 572
384201-223,Teodoro,Báez Padilla,F,1980-01-30,Abogado,776-177-4037x26890,Circuito Durango 790
748688-224,Concepción,Maya Barrera,M,1971-03-22,Doctor,1-616-414-5679x862,Prolongación Sur Bustamante 658
466839-225,Lucas,Anaya Rentería,F,1979-06-05,Profesor,1-595-877-7431,Calle Arguello 414
620506-226,Cynthia,Gaona Gonzales,F,1995-07-05,Doctor,690-811-8084x88600,Corredor Dinamarca 395
484493-227,Carolina,Almanza Quintana,F,1989-12-24,Diseñador,+03(8)9548870661,Calle Puga 237
835007-228,Ilse,Velasco Roybal,M,1999-07-07,Programador,680-322-6313,Circuito Sur Herrera 784
584372-229,Sandra,Razo Valdivia,M,1994-06-16,Profesor,596.565.4986x006,Diagonal Griego 638
142761-230,Maximiliano,Collazo Leal,M,1972-02-25,Diseñador,1-651-591-0872x442,Callejón Guerrero 277
627800-231,Carlota,Gálvez Almaraz,M,1968-02-21,Doctor,785.889.7524x33041,Periférico Alemán 303
970651-232,Perla,Rubio Estévez,M,2000-12-19,Profesor,+40(9)4064717136,Periférico Cervántez 913
877950-233,Bernabé,Zarate Muro,M,2001-01-09,Diseñador,681-312-0709,Circuito Dinamarca 866
604932-234,Mitzy,Villalpando Mora,M,1974-02-12,Abogado,1-602-318-4614x1253,Callejón Distrito Federal 289
989410-235,Alfonso,Villa Armendáriz,F,1988-11-13,Abogado,830-145-2695x7299,Diagonal Martínez 183
530677-236,Gabriel,Ocasio Madrigal,F,2001-09-05,Enfermero,(939)297-5326x5382,Cerrada Guerrero 782
706067-237,Yeni,Ballesteros Herrera,M,1968-01-08,Diseñador,632-139-4248x63874,Corredor Morelos 212
806951-238,Homero,Alemán Gallardo,M,1974-09-04,Enfermero,1-737-115-7071,Retorno Campeche 603
315986-239,Lucía,Olivera Huerta,M,1994-05-01,Profesor,04840401037,Prolongación Sur Olivárez 767
459433-240,Claudia,Murillo Colón,M,1994-11-25,Diseñador,(955)833-6104x4389,Circunvalación Castillo 618
630158-241,Teodoro,Ulloa Munguía,F,2001-09-05,Diseñador,072-634-7933x6633,Ampliación Norte Garrido 189
188166-242,Hermelinda,Acevedo Prieto,F,1980-06-02,Electricista,(397)173-9339,Calle Sur Quiñones 157
844958-243,Tomás,Salazar Véliz,F,1989-06-20,Contador,(264)458-2343x5334,Calzada Tlaxcala 637
532073-244,Marcela,Samaniego Cervántez,M,1966-12-15,Arquitecto,1-072-271-2883,Pasaje de la Garza 751
717814-245,Rolando,Gallegos Loya,F,1987-11-27,Abogado,+83(9)5765021653,Boulevard Irizarry 619
804133-246,Wilfrido,Rangel Quiñones,F,1972-02-02,Profesor,1-550-201-4506x66720,Pasaje Guanajuato 569
474472-247,Esparta,Padrón Vásquez,F,1967-01-12,Abogado,520-788-6533,Diagonal Palacios 143
